description;plcVariableName;mbUsed;multiplier;addressOffset;mbRegister;mbFunctionCode;mbUnit;mqttLowerLimit;mqttUpperLimit;mbScaling;mbOffset;mbType;mqttScaling;mqttName;mqttOffset;mqttUnit;mqttDecimals;mbHandler;mbHandlerOffset;mbIdx;mbTypeSize
Summary of total voltage undervoltage slight alarm at each rack in the system;summary_of_total_voltage_undervoltage_slight_alarm_at_each_rack_in_the_system;True;1;0;1;2;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;1;0;1;16
Summary of total voltage undervoltage medium alarm at each rack in the system;summary_of_total_voltage_undervoltage_medium_alarm_at_each_rack_in_the_system;True;1;0;2;2;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;1;0;2;16
Summary of total voltage undervoltage serious alarm at each rack in the system;summary_of_total_voltage_undervoltage_serious_alarm_at_each_rack_in_the_system;True;1;0;3;2;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;1;0;3;16
Summary of total voltage overvoltage slight alarm at each rack in the system;summary_of_total_voltage_overvoltage_slight_alarm_at_each_rack_in_the_system;True;1;0;4;2;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;1;0;4;16
Summary of total voltage overvoltage medium alarm at each rack in the system;summary_of_total_voltage_overvoltage_medium_alarm_at_each_rack_in_the_system;True;1;0;5;2;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;1;0;5;16
Summary of total voltage overvoltage serious alarm at each rack in the system;summary_of_total_voltage_overvoltage_serious_alarm_at_each_rack_in_the_system;True;1;0;6;2;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;1;0;6;16
Summary of overcurrent slight alarm at each rack in the system;summary_of_overcurrent_slight_alarm_at_each_rack_in_the_system;True;1;0;7;2;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;1;0;7;16
Summary of overcurrent medium alarm at each rack in the system;summary_of_overcurrent_medium_alarm_at_each_rack_in_the_system;True;1;0;8;2;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;1;0;8;16
Summary of overcurrent serious alarm at each rack in the system;summary_of_overcurrent_serious_alarm_at_each_rack_in_the_system;True;1;0;9;2;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;1;0;9;16
Summary of low insulation resistance slight alarm at each rack in the system;summary_of_low_insulation_resistance_slight_alarm_at_each_rack_in_the_system;True;1;0;10;2;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;1;0;10;16
Summary of low insulation resistance medium alarm at each rack in the system;summary_of_low_insulation_resistance_medium_alarm_at_each_rack_in_the_system;True;1;0;11;2;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;1;0;11;16
Summary of low insulation resistance serious alarm at each rack in the system;summary_of_low_insulation_resistance_serious_alarm_at_each_rack_in_the_system;True;1;0;12;2;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;1;0;12;16
Summary of Module low temperature slight alarm at each rack in the system;summary_of_module_low_temperature_slight_alarm_at_each_rack_in_the_system;True;1;0;13;2;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;1;0;13;16
Summary of Module Low temperature medium alarm at each rack in the system;summary_of_module_low_temperature_medium_alarm_at_each_rack_in_the_system;True;1;0;14;2;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;1;0;14;16
Summary of Module low temperature serious alarm at each rack in the system;summary_of_module_low_temperature_serious_alarm_at_each_rack_in_the_system;True;1;0;15;2;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;1;0;15;16
Summary of Module over temperature slight alarm at each rack in the system;summary_of_module_over_temperature_slight_alarm_at_each_rack_in_the_system;True;1;0;16;2;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;1;0;16;16
Summary of Module over temperature medium alarm at each rack in the system;summary_of_module_over_temperature_medium_alarm_at_each_rack_in_the_system;True;1;0;17;2;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;1;0;17;16
Summary of Module over temperature serious alarm at each rack in the system;summary_of_module_over_temperature_serious_alarm_at_each_rack_in_the_system;True;1;0;18;2;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;1;0;18;16
Summary of Cell over voltage slight alarm in the system;summary_of_cell_over_voltage_slight_alarm_in_the_system;True;1;0;19;2;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;1;0;19;16
Summary of Cell over voltage medium alarm in the system;summary_of_cell_over_voltage_medium_alarm_in_the_system;True;1;0;20;2;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;1;0;20;16
Summary of Cell over voltage serious alarm in the system;summary_of_cell_over_voltage_serious_alarm_in_the_system;True;1;0;21;2;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;1;0;21;16
Summary of Cell low voltage slight alarm in the system;summary_of_cell_low_voltage_slight_alarm_in_the_system;True;1;0;22;2;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;1;0;22;16
Summary of Cell low voltage medium alarm in the system;summary_of_cell_low_voltage_medium_alarm_in_the_system;True;1;0;23;2;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;1;0;23;16
Summary of Cell low voltage serious alarm at each rack in the system;summary_of_cell_low_voltage_serious_alarm_at_each_rack_in_the_system;True;1;0;24;2;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;1;0;24;16
Summary of Cell differential voltage slight alarm in the system;summary_of_cell_differential_voltage_slight_alarm_in_the_system;True;1;0;25;2;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;1;0;25;16
Summary of Cell differential voltage medium alarm in the system;summary_of_cell_differential_voltage_medium_alarm_in_the_system;True;1;0;26;2;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;1;0;26;16
Summary of Cell differential voltage serious alarm in the system;summary_of_cell_differential_voltage_serious_alarm_in_the_system;True;1;0;27;2;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;1;0;27;16
Summary of Cell low temperature slight alarm in the system;summary_of_cell_low_temperature_slight_alarm_in_the_system;True;1;0;28;2;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;1;0;28;16
Summary of Cell low temperature medium alarm in the system;summary_of_cell_low_temperature_medium_alarm_in_the_system;True;1;0;29;2;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;1;0;29;16
