description;plcVariableName;mbUsed;multiplier;addressOffset;mbRegister;mbFunctionCode;mbUnit;mqttLowerLimit;mqttUpperLimit;mbScaling;mbOffset;mbType;mqttScaling;mqttName;mqttOffset;mqttUnit;mqttDecimals;mbHandler;mbHandlerOffset;mbIdx;mbTypeSize
Grid Voltage L1N;MCU_Grid_Voltage_L1N;True;4;100;8100;4;V;-999999990;999999990;0.1;0;UINT16;0.1;ME_V_L1N;0;V;3;1;1;1;16
Grid Voltage L2N;MCU_Grid_Voltage_L2N;True;4;100;8101;4;V;-999999990;999999990;0.1;0;UINT16;0.1;ME_V_L2N;0;V;3;1;1;2;16
Grid Voltage L3N;MCU_Grid_Voltage_L3N;True;4;100;8102;4;V;-999999990;999999990;0.1;0;UINT16;0.1;ME_V_L3N;0;V;3;1;1;3;16
Grid Voltage L12;MCU_Grid_Voltage_L12;True;4;100;8103;4;V;-999999990;999999990;0.1;0;UINT16;0.1;ME_V_L12;0;V;3;1;1;4;16
Grid Voltage L23;MCU_Grid_Voltage_L23;True;4;100;8104;4;V;-999999990;999999990;0.1;0;UINT16;0.1;ME_V_L23;0;V;3;1;1;5;16
Grid Voltage L31;MCU_Grid_Voltage_L31;True;4;100;8105;4;V;-999999990;999999990;0.1;0;UINT16;0.1;ME_V_L31;0;V;3;1;1;6;16
Grid Frequency;MCU_Grid_Frequency;True;4;100;8106;4;Hz;-999999990;999999990;0.001;0;UINT16;0.001;ME_F;0;Hz;3;1;1;7;16
Grid Current L1;MCU_Grid_Current_L1;True;4;100;8107;4;A;-999999990;999999990;0.1;0;UINT16;0.1;ME_I_L1;0;A;3;1;1;8;16
Grid Current L2;MCU_Grid_Current_L2;True;4;100;8108;4;A;-999999990;999999990;0.1;0;UINT16;0.1;ME_I_L2;0;A;3;1;1;9;16
Grid Current L3;MCU_Grid_Current_L3;True;4;100;8109;4;A;-999999990;999999990;0.1;0;UINT16;0.1;ME_I_L3;0;A;3;1;1;10;16
Active Power Total;MCU_Active_Power_Total;True;4;100;8110;4;kW;-999999990;999999990;0.1;0;INT16;0.1;ME_P_Tot;0;kW;3;1;1;11;16
Active Power L1;MCU_Active_Power_L1;True;4;100;8111;4;kW;-999999990;999999990;0.1;0;INT16;0.1;ME_P_L1;0;kW;3;1;1;12;16
Active Power L2;MCU_Active_Power_L2;True;4;100;8112;4;kW;-999999990;999999990;0.1;0;INT16;0.1;ME_P_L2;0;kW;3;1;1;13;16
Active Power L3;MCU_Active_Power_L3;True;4;100;8113;4;kW;-999999990;999999990;0.1;0;INT16;0.1;ME_P_L3;0;kW;3;1;1;14;16
Reactive Power Total;MCU_Reactive_Power_Total;True;4;100;8114;4;kvar;-999999990;999999990;0.1;0;INT16;0.1;ME_Q_Tot;0;kvar;3;1;1;15;16
Reactive Power L1;MCU_Reactive_Power_L1;True;4;100;8115;4;kvar;-999999990;999999990;0.1;0;INT16;0.1;ME_Q_L1;0;kvar;3;1;1;16;16
Reactive Power L2;MCU_Reactive_Power_L2;True;4;100;8116;4;kvar;-999999990;999999990;0.1;0;INT16;0.1;ME_Q_L2;0;kvar;3;1;1;17;16
Reactive Power L3;MCU_Reactive_Power_L3;True;4;100;8117;4;kvar;-999999990;999999990;0.1;0;INT16;0.1;ME_Q_L3;0;kvar;3;1;1;18;16
DC Voltage;MCU_DC_Voltage;True;4;100;8118;4;V;-999999990;999999990;0.1;0;UINT16;0.1;ME_V_DC;0;V;3;1;1;19;16
DC Current;MCU_DC_Current;True;4;100;8119;4;A;-999999990;999999990;0.1;0;INT16;0.1;ME_I_DC;0;A;3;1;1;20;16
DC Power;MCU_DC_Power;True;4;100;8120;4;kW;-999999990;999999990;0.1;0;INT16;0.1;ME_P_DC;0;kW;3;1;1;21;16
Inductor Temperature;MCU_Inductor_Temperature;True;4;100;8121;4;°C;-999999990;999999990;0.1;0;INT16;0.1;;0;°C;3;1;1;22;16
IGBT Temperature L1;MCU_IGBT_Temperature_L1;True;4;100;8122;4;°C;-999999990;999999990;0.1;0;INT16;0.1;;0;°C;3;1;1;23;16
IGBT Temperature L2;MCU_IGBT_Temperature_L2;True;4;100;8123;4;°C;-999999990;999999990;0.1;0;INT16;0.1;;0;°C;3;1;1;24;16
IGBT Temperature L3;MCU_IGBT_Temperature_L3;True;4;100;8124;4;°C;-999999990;999999990;0.1;0;INT16;0.1;;0;°C;3;1;1;25;16
Applied Active Power Limit;MCU_Applied_Active_Power_Limit;True;4;100;8125;4;kW;-999999990;999999990;0.1;0;INT16;0.1;LIM_P;0;kW;3;1;1;26;16
Applied Reactive Power Limit;MCU_Applied_Reactive_Power_Limit;True;4;100;8126;4;kvar;-999999990;999999990;0.1;0;INT16;0.1;LIM_Q;0;kvar;3;1;1;27;16
Applied DC Voltage Maximum;MCU_Applied_DC_Voltage_Maximum;True;4;100;8127;4;V;-999999990;999999990;0.1;0;INT16;0.1;;0;V;3;1;1;28;16
Applied DC Voltage Minimum;MCU_Applied_DC_Voltage_Minimum;True;4;100;8128;4;V;-999999990;999999990;0.1;0;INT16;0.1;;0;V;3;1;1;29;16
Applied Positive DC Current Limit;MCU_Applied_Positive_DC_Current_Limit;True;4;100;8129;4;A;-999999990;999999990;0.1;0;INT16;0.1;LIM_I_DC_Pos;0;A;3;1;1;30;16
Applied Negative DC Current Limit;MCU_Applied_Negative_DC_Current_Limit;True;4;100;8130;4;A;-999999990;999999990;0.1;0;INT16;0.1;LIM_I_DC_Pos;0;A;3;1;1;31;16
Energy Counter Positive Total;MCU_Energy_Counter_Positive_Total;True;4;100;8131;4;kWh;-999999990;999999990;0.1;0;UINT32;0.1;CT_E_Pos_Tot;0;kWh;3;1;1;32;32
Energy Counter Negative Total;MCU_Energy_Counter_Negative_Total;True;4;100;8133;4;kWh;-999999990;999999990;0.1;0;UINT32;0.1;CT_E_Neg_Tot;0;kWh;3;1;1;33;32
MCU Error Code 1;MCU_Error_Code_1;True;4;100;8135;4;NoUnit;-999999990;999999990;1.0;0;UINT16;1.0;;0;NoUnit;3;1;1;34;16
MCU Error Code 2;MCU_Error_Code_2;True;4;100;8136;4;NoUnit;-999999990;999999990;1.0;0;UINT16;1.0;;0;NoUnit;3;1;1;35;16
MCU Error Code 3;MCU_Error_Code_3;True;4;100;8137;4;NoUnit;-999999990;999999990;1.0;0;UINT16;1.0;;0;NoUnit;3;1;1;36;16
MCU Error Code 4;MCU_Error_Code_4;True;4;100;8138;4;NoUnit;-999999990;999999990;1.0;0;UINT16;1.0;;0;NoUnit;3;1;1;37;16
MCU Error Code 5;MCU_Error_Code_5;True;4;100;8139;4;NoUnit;-999999990;999999990;1.0;0;UINT16;1.0;;0;NoUnit;3;1;1;38;16
MCU Error Code 6;MCU_Error_Code_6;True;4;100;8140;4;NoUnit;-999999990;999999990;1.0;0;UINT16;1.0;;0;NoUnit;3;1;1;39;16
MCU Error Code 7;MCU_Error_Code_7;True;4;100;8141;4;NoUnit;-999999990;999999990;1.0;0;UINT16;1.0;;0;NoUnit;3;1;1;40;16
MCU Error Code 8;MCU_Error_Code_8;True;4;100;8142;4;NoUnit;-999999990;999999990;1.0;0;UINT16;1.0;;0;NoUnit;3;1;1;41;16
Operating State;MCU_Operating_State;True;4;100;8143;4;NoUnit;-999999990;999999990;1.0;0;UINT16;1.0;;0;NoUnit;3;1;1;42;16
Start Countdown;MCU_Start_Countdown;True;4;100;8144;4;s;-999999990;999999990;1.0;0;UINT16;1.0;;0;s;3;1;1;43;16
Humidity;MCU_Humidity;True;4;100;8145;4;%rh;-999999990;999999990;0.1;0;UINT16;0.1;ME_Hum;0;%rh;3;1;1;44;16
PCB Temperature;MCU_PCB_Temperature;True;4;100;8146;4;°C;-999999990;999999990;0.1;0;INT16;0.1;;0;°C;3;1;1;45;16
Insulation Resistance;MCU_Insulation_Resistance;True;4;100;8147;4;k?;-999999990;999999990;0.1;0;UINT16;0.1;;0;k?;3;1;1;46;16
Leakage Capacitance;MCU_Leakage_Capacitance;True;4;100;8148;4;µF;-999999990;999999990;0.1;0;UINT16;0.1;;0;µF;3;1;1;47;16
Firmware Version;MCU_Firmware_Version;True;4;100;8149;4;V;-999999990;999999990;1.0;0;UINT16;1.0;;0;V;3;1;1;48;16
DC Positive Voltage;MCU_DC_Positive_Voltage;True;4;100;8150;4;V;-999999990;999999990;0.1;0;INT16;0.1;;0;V;3;1;1;49;16
DC Negative Voltage;MCU_DC_Negative_Voltage;True;4;100;8151;4;V;-999999990;999999990;0.1;0;INT16;0.1;;0;V;3;1;1;50;16
Positive Ah Counter 1;MCU_Positiv_Ah_Counter_1;True;4;100;10000;4;Ah;-999999990;999999990;0.01;0;UINT32;0.01;;0;Ah;3;5;1;1;32
Negative Ah Counter 1;MCU_Negativ_Ah_Counter_1;True;4;100;10002;4;Ah;-999999990;999999990;0.01;0;UINT32;0.01;;0;Ah;3;5;1;2;32
Current 1;MCU_Current_1;True;4;100;10004;4;A;-999999990;999999990;0.01;0;UINT16;0.01;;0;A;3;5;1;3;16
Positive Ah Counter 2;MCU_Positiv_Ah_Counter_2;True;4;100;10005;4;Ah;-999999990;999999990;0.01;0;UINT32;0.01;;0;Ah;3;5;1;4;32
Negative Ah Counter 2;MCU_Negativ_Ah_Counter_2;True;4;100;10007;4;Ah;-999999990;999999990;0.01;0;UINT32;0.01;;0;Ah;3;5;1;5;32
Current 2;MCU_Current_2;True;4;100;10009;4;A;-999999990;999999990;0.01;0;UINT16;0.01;;0;A;3;5;1;6;16
Positive Ah Counter 3;MCU_Positiv_Ah_Counter_3;True;4;100;10010;4;Ah;-999999990;999999990;0.01;0;UINT32;0.01;;0;Ah;3;5;1;7;32
Negative Ah Counter 3;MCU_Negativ_Ah_Counter_3;True;4;100;10012;4;Ah;-999999990;999999990;0.01;0;UINT32;0.01;;0;Ah;3;5;1;8;32
Current 3;MCU_Current_3;True;4;100;10014;4;A;-999999990;999999990;0.01;0;UINT16;0.01;;0;A;3;5;1;9;16
Positive Ah Counter 4;MCU_Positiv_Ah_Counter_4;True;4;100;10015;4;Ah;-999999990;999999990;0.01;0;UINT32;0.01;;0;Ah;3;5;1;10;32
Negative Ah Counter 4;MCU_Negativ_Ah_Counter_4;True;4;100;10017;4;Ah;-999999990;999999990;0.01;0;UINT32;0.01;;0;Ah;3;5;1;11;32
Current 4;MCU_Current_4;True;4;100;10019;4;A;-999999990;999999990;0.01;0;UINT16;0.01;;0;A;3;5;1;12;16
Positive Ah Counter 5;MCU_Positiv_Ah_Counter_5;True;4;100;10020;4;Ah;-999999990;999999990;0.01;0;UINT32;0.01;;0;Ah;3;5;1;13;32
Negative Ah Counter 5;MCU_Negativ_Ah_Counter_5;True;4;100;10022;4;Ah;-999999990;999999990;0.01;0;UINT32;0.01;;0;Ah;3;5;1;14;32
