AXSOL_Name_Short,AXSOL Name,Description,AXSOL Unit & Resolution,Local Data Storage,Cloud,Dashboard,Trader,Network-Operator,Controller,O&M,SK required
ME_E_Avail_Charge,AX_Node Available Energy Charge,Amount of energy (in kWh) available for charging operations within the node.                 ,kWh,,,,,,,,
ME_E_Avail_Discharge,AX_Node Available Energy Discharge,Amount of energy (in kWh) available for discharging operations within the node.              ,kWh,,,,,,,,
ME_P_Avail_Charge,AX_Node Available Active Power Charge,Maximum Active power (in kW) that can be used for charging at the node level.                       ,kW,,,,,,,,
ME_P_Avail_Discharge,AX_Node Available Active Power Discharge,Maximum active power (in kW) that can be delivered during discharge at the node level.              ,kW,,,,,,,,
ME_Q_Avail_Lag,AX_Node Available Reactive Power Lagging,Maximum reactive power (in kVAr) that can be used for lagging at the node level.                       ,kVAr,,,,,,,,
ME_Q_Avail_Lead,AX_Node Available Reactive Power Leading,Maximum reactive power (in kVAr) that can be delivered for leading at the node level.              ,kVAr,,,,,,,,
ME_SOC,AX_Node SOC,State of Charge: percentage of remaining battery capacity for the entire node.               ,%,,,,,,,,
ME_SOH,AX_Node SOH,State of Health: indicator of overall battery health for the node compared to original state.,%,,,,,,,,
ME_P,AX_Node Active Power,Real power (in kW) currently being delivered or consumed by the node.                        ,kW,,,,,,,,
SP_P,AX_Node Active Power Setpoint,Currently active setpoint for active power.,kW,,,,,,,,
ME_Q,AX_Node Reactive Power,Reactive power (in kVAR) currently associated with the node’s operation.                     ,kVAr,,,,,,,,
SP_Q,AX_Node Reactive Power Setpoint,Currenty active setpoint for reactive power.,kVAr,,,,,,,,
ME_P_OwnUse,AX_Node Own Consumption,Power consumed internally by the node for auxiliary systems and PLC operation.               ,kW,,,,,,,,
ME_Temp_Cell_Avg,AX_Node Avg Cell Temperature,Average temperature of all cells across containers managed by the node.                      ,°C,,,,,,,,
ME_Temp_Cell_Min,AX_Node Min Cell Temperature,Minimum cell temperature recorded across all containers under the node.                      ,°C,,,,,,,,
ME_Temp_Cell_Max,AX_Node Max Cell Temperature,Maximum cell temperature recorded across all containers under the node.                      ,°C,,,,,,,,
ME_Cycles_DC,AX_Node Number Cycles DC,Total number of full charge/discharge cycles completed by the node.                          ,,,,,,,,,
ME_RTE,AX_Node RTE,Round Trip Efficiency: ratio of energy discharged to energy charged for the entire plant.    ,%,,,,,,,,
ST_IO,AX_Node IO-State,Current status of all input/output signals managed by the node’s PLC.                        ,,,,,,,,,
ST_BMZ,AX_Node BMZ_Status,Status information from BMZ battery modules integrated into the node.                        ,,,,,,,,,
ERR_Code,AX_Node Error Code,"Collection of Node errors, also containing comm issues",,,,,,,,,
