Topic,Description,Register Adress,Unit& Scaling,type,AXSOL Name,AXSOL Unit & Scaling
Watchdog wholesales,,,-,UINT32,AX_Trader Watchdog wholesales,
Setpoint wholesales,,,W,FLOAT32,AX_Trader Setpoint wholesales,
Watchdog for reserve power marketing (reserve provider),,,-,UINT32,AX_Trader Watchdog reserve power marketing,
Provision of positive FCR,,,W,FLOAT32,AX_Trader Provision of positive FCR,
Provision of negative FCR,,,W,FLOAT32,AX_Trader Provision of negative FCR,
Provision of positive aFRR,,,W,FLOAT32,AX_Trader Provision of positive aFRR,
Provision of negative aFRR,,,W,FLOAT32,AX_Trader Provision of negative aFRR,
Setpoint aFRR,,,W,FLOAT32,AX_Trader Setpoint aFRR,
Activation for Primary control power,,,-,UINT32,AX_Trader Activation for Primary control power,
Factor Overfulfillment (Übererfüllung) FCR,,,-,FLOAT32,AX_Trader Factor Overfulfillment FCR,
