Topic,Description,Register Address,Scaling,Unit,Offset,Multiplier,AddressOffset,type,AXSOL Name,AXSOL Unit & Resolution
Rack_N_Status,0x00: initial state;<br>0x01: charging;<br>0x02: discharging;<br>0x03: ready;<br>0x04: rack maintenance;<br>0x05: charge prohibition;<br>0x06: discharge prohibition;<br>0x07: charging and discharging prohibited;<br>0x08: fault;,100,1.0,NoUnit,0,1,0,UINT   ,,
Rack_N_maximum_allowable_charging_power,Resolution: 0.1 Unit: KW  ,101,0.1,kW ,0,1,0,UINT   ,,
Rack_N_maximum_allowable_discharging_power,Resolution: 0.1 Unit: KW  ,102,0.1,kW ,0,1,0,UINT   ,,
Rack_N_maximum_allowable_charging_voltage,Resolution: 0.1 Unit: V   ,103,0.1,V  ,0,1,0,UINT   ,,
Rack_N_maximum_allowable_discharging_voltage,Resolution: 0.1 Unit: V   ,104,0.1,V  ,0,1,0,UINT   ,,
Rack_N_maximum_allowable_charging_current,Resolution: 0.1 Unit: A   ,105,0.1,A  ,0,1,0,UINT   ,AX_Rack max charge current,
Rack_N_maximum_allowable_discharging_current,Resolution: 0.1 Unit: A   ,106,0.1,A  ,0,1,0,UINT   ,AX_Rack max discharge current,
Rack_N_total_voltage,0.1V/bit                  ,115,0.1,V  ,0,1,0,UINT   ,AX_Rack voltage,
Rack_N_current,"0.1A/bit, offset: -3200.0A",116,0.1,A  ,-3200,1,0,UINT   ,AX_Rack current,
Rack_N_average_temperature,"1°C/bit, offset: -40°C    ",117,1.0,°C ,-40,1,0,UINT   ,AX_Rack Ambient temperature,
Rack_N_SOC,1%/bit                    ,118,1.0,   ,0,1,0,UINT   ,AX_Rack soc,
Rack_N_SOH,1%/bit                    ,119,1.0,   ,0,1,0,UINT   ,AX_Rack soh,
Rack_N_insulation_resistance,1KΩ/bit                   ,120,1.0,kΩ ,0,1,0,UINT   ,,
Rack_N_average_cell_voltage,0.001V/bit                ,121,0.001,V  ,0,1,0,UINT   ,AX_Rack average voltage,
Rack_N_average_cell_temperature,"1°C/bit, offset: -40°C    ",122,1.0,°C ,-40,1,0,UINT   ,AX_Rack average temperature,
Rack_N_maximum_cell_voltage,0.001V/bit                ,123,0.001,V  ,0,1,0,UINT   ,AX_Rack max cell voltage,
Cell_No_of_maximum_cell_voltage_in_rack_N,1/bit                     ,124,1.0,   ,0,1,0,UINT   ,,
Rack_N_minimum_cell_voltage,0.001V/bit                ,125,0.001,V  ,0,1,0,UINT   ,AX_Rack min cell voltage,
Cell_No_of_minimum_cell_voltage_in_rack_N,1/bit                     ,126,1.0,   ,0,1,0,UINT   ,,
Rack_N_maximum_cell_temperature,"1°C/bit, offset: -40°C    ",127,1.0,°C ,-40,1,0,UINT   ,AX_Rack max cell temperature,
Cell_No_of_maximum_temperature_in_rack_N,1/bit                     ,128,1.0,   ,0,1,0,UINT   ,,
Rack_N_minimum_cell_temperature,"1°C/bit, offset: -40°C    ",129,1.0,°C ,-40,1,0,UINT   ,AX_Rack min cell temperature,
Cell_No_of_minimum_temperature_in_rack_N,1/bit                     ,130,1.0,   ,0,1,0,UINT   ,,
Rack_N_maximum_cell_SOC, 1%/bit    ,131,1.0,%,0,1,0, UINT  ,,
Cell_No_of_maximum_cell_SOC_in_rack_N,1/bit      ,132,1.0,   ,0,1,0,UINT   ,,
Rack_N_minimum_cell_SOC, 1%/bit    ,133,1.0,%,0,1,0, UINT  ,,
Cell_No_of_minimum_cell_SOC_in_rack_N,1/bit      ,134,1.0,   ,0,1,0,UINT   ,,
Rack_N_maximum_cell_SOH, 1%/bit    ,135,1.0,%,0,1,0, UINT  ,,
Cell_No_of_maximum_cell_SOH_in_rack_N,1/bit      ,136,1.0,   ,0,1,0,UINT   ,,
Rack_N_minimum_cell_SOH, 1%/bit    ,137,1.0,%,0,1,0, UINT  ,,
Cell_No_of_minimum_cell_SOH_in_rack_N,1/bit      ,138,1.0,   ,0,1,0,UINT   ,,
Rack_N_accumulated_charging_capacity,0.1KWh/bit ,139,0.1,kWh,0,1,0,UINT32 ,,
Rack_N_accumulated_discharging_capacity,0.1KWh/bit ,141,0.1,kWh,0,1,0,UINT32 ,,
Rack_N_accumulated_charge_quantity_for_a_single_time,0.1KWh/bit ,143,0.1,kWh,0,1,0,UINT32 ,,
Rack_N_accumulated_discharge_quantity_for_a_single_time,0.1KWh/bit ,145,0.1,kWh,0,1,0,UINT32 ,,
Rack_N_rechargeable_capacity, 0.1KWh/bit,147,0.1, kW,0,1,0,UINT32,,
Rack_N_discharge_capacity, 0.1KWh/bit,149,0.1, kW,0,1,0,UINT32,,
Rack_N_module_#_SOC, 1%/bit    ,151,0.001,V,0,40,1,UINT,,
Rack_N_cell_voltage_#,0.001V/bit,191,0.001,V,0,700,1,UINT,,
Rack_N_cell_temperature_#,"1°C/bit, offset: -40°C",891,1.0, °C,-40,700,1,UINT,,
Rack_N_cell_SOC_#,1%/bit                ,1591,1.0,%,0,700,1,UINT,,
Rack_N_cell_SOH_#,1%/bit,2291,1.0,%,0,700,1,UINT,,
Rack_N_terminal_temperature_#,"1°C/bit, offset: -40°C",2991,1.0,°C,-40,100,1,UINT,,
