Topic,Description,Register Address,Unit,Scaling,Offset,type,Multiplier,AddressOffset,AXSOL Name,AXSOL Unit & Resolution,upperLimit,lowerLimit
Statusofconnectionprocess,,0x1001,,,,u16,1,0,ST_Conn,,99999999.0,-99999999.0
Rackenablestatus,,0x1002,,,,u16,1,0,,,99999999.0,-99999999.0
rackonlinestatus,,0x1005,,,,u16,1,0,ST_RackOnline,,99999999.0,-99999999.0
Systemoperationstate,,0x1006,-,,,u16,1,0,ST_Op,-,99999999.0,-99999999.0
Systemchargestate(Chg/Dsg),,0x1007,-,,,u16,1,0,,-,99999999.0,-99999999.0
SBMUalarmstate,,0x1008,-,,,u16,1,0,ST_Alarm,-,99999999.0,-99999999.0
RackalarmIsummary,,0x1009,-,,,u16,1,0,ST_Alarm,-,99999999.0,-99999999.0
RackalarmIIsummary,,0x100A,-,,,u16,1,0,ST_Alarm,-,99999999.0,-99999999.0
RackalarmIIIsummary,,0x100B,-,,,u16,1,0,ST_Alarm,-,99999999.0,-99999999.0
Systemtotalvoltage,,0x100C,0.1V,,,u16,1,0,ME_V_Tot,0.1V,99999999.0,-99999999.0
Systemtotalcurrent,,0x100D,0.1A,,,int16,1,0,ME_I_Tot,0.1A,99999999.0,-99999999.0
SystemSOC,,0x100E,‰,,,u16,1,0,ME_SOC,%,99999999.0,-99999999.0
SystemSOH,,0x100F,‰,,,u16,1,0,ME_SOH,%,99999999.0,-99999999.0
Systeminsulation,,0x1010,KΩ,,,u16,1,0,,Ω,99999999.0,-99999999.0
Systemenablechargeenergy,,0x1011,KWH,,,u16,1,0,CT_E_Charge,WH,99999999.0,-99999999.0
Rackcurrentdifference,,0x1015,0.1A,,,int16,1,0,ME_I_RackDiff,0.1A,99999999.0,-99999999.0
Rackvoltagedifference,,0x1016,0.1V,,,u16,1,0,ME_V_RackDiff,0.1V,99999999.0,-99999999.0
SystemmaxvolcellrackID,,0x1017,-,,,u16,1,0,,-,99999999.0,-99999999.0
SystemmaxvolcellslaveID,,0x1018,-,,,u16,1,0,,-,99999999.0,-99999999.0
SystemmaxvolcellID,,0x1019,-,,,u16,1,0,,-,99999999.0,-99999999.0
Systemmaxcellvoltage,,0x101A,mV,,,u16,1,0,,V,99999999.0,-99999999.0
SystemminvolcellrackID,,0x101B,-,,,u16,1,0,,-,99999999.0,-99999999.0
SystemminvolcellslaveID,,0x101C,-,,,u16,1,0,,-,99999999.0,-99999999.0
SystemminvolcellID,,0x101D,-,,,u16,1,0,,-,99999999.0,-99999999.0
Systemmincellvoltage,,0x101E,mV,,,u16,1,0,,V,99999999.0,-99999999.0
Systemaveragevoltage,,0x101F,mV,,,u16,1,0,,V,99999999.0,-99999999.0
SystemmaxtempcellrackID,,0x1020,-,,,u16,1,0,,-,99999999.0,-99999999.0
SystemmaxtempcellslaveID,,0x1021,-,,,u16,1,0,,-,99999999.0,-99999999.0
SystemmaxtempcellID,,0x1022,-,,,u16,1,0,,-,99999999.0,-99999999.0
Systemmaxcelltemperature,,0x1023,0.1℃,,,int16,1,0,,0.1℃,99999999.0,-99999999.0
SystemmintempcellrackID,,0x1024,-,,,u16,1,0,,-,99999999.0,-99999999.0
SystemmintempcellslaveID,,0x1025,-,,,u16,1,0,,-,99999999.0,-99999999.0
SystemmintempcellID,,0x1026,-,,,u16,1,0,,-,99999999.0,-99999999.0
Systemmincelltemperature,,0x1027,0.1℃,,,int16,1,0,,0.1℃,99999999.0,-99999999.0
Systemaveragetemperature,,0x1028,0.1℃,,,int16,1,0,,0.1℃,99999999.0,-99999999.0
SBMUCBMUcommunicationfaultalarm,,0x1029,,,,u16,1,0,ST_Alarm,,99999999.0,-99999999.0
SBMUCBMUcommunicationfaultalarm2,,0x102A,,,,u16,1,0,,,99999999.0,-99999999.0
SBMUoutputdrycontactstatus,,0x102B,,,,u16,1,0,,,99999999.0,-99999999.0
Rackenablestatus2,,0x102C,,,,u16,1,0,,,99999999.0,-99999999.0
Rackonlinestatus2,,0x102F,,,,u16,1,0,,,99999999.0,-99999999.0
AccumulationchargeenergyMSB,,0x1030,KWH,,,u16,1,0,,WH,99999999.0,-99999999.0
