Topic,Description,Register Address,Unit,Scaling,Offset,type,Multiplier,AddressOffset,AXSOL Name,AXSOL Unit & Resolution,upperLimit,lowerLimit
System_total_Voltage,0.1V/bit                  ,2,V,0.1,0,UINT,1,0,ME_V_Tot,,99999999.0,-99999999.0
System_current,"0.1A/bit, Offset: -3200.0A",3,A,0.1,-3200,UINT,1,0,ME_I_Tot,,99999999.0,-99999999.0
System_SOC,1%/bit                    ,4,NoUnit,1.0,0,UINT,1,0,ME_SOC,,99999999.0,-99999999.0
System_SOH,1%/bit                    ,5,NoUnit,1.0,0,UINT,1,0,ME_SOH,,99999999.0,-99999999.0
Maximum_battery_voltage,0.001V/bit                ,6,V,0.001,0,UINT,1,0,,,99999999.0,-99999999.0
Rack_No_of_maximum_voltage,1/bit                     ,7,NoUnit,1.0,0,UINT,1,0,,,99999999.0,-99999999.0
Cell_No_of_maximum_voltage_in_the_rack,1/bit                     ,8,NoUnit,1.0,0,UINT,1,0,,,99999999.0,-99999999.0
Minimum_battery_voltage,0.001V/bit                ,9,V,0.001,0,UINT,1,0,,,99999999.0,-99999999.0
Rack_No_of_minimum_voltage,1/bit                     ,10,NoUnit,1.0,0,UINT,1,0,,,99999999.0,-99999999.0
Cell_No_of_minimum_voltage_in_the_rack,1/bit                     ,11,NoUnit,1.0,0,UINT,1,0,,,99999999.0,-99999999.0
Maximum_battery_temperature,"1°C/bit, Offset: -40°C    ",12,°C,1.0,-40,UINT,1,0,,,99999999.0,-99999999.0
Rack_No_of_maximum_temperature,1/bit                     ,13,NoUnit,1.0,0,UINT,1,0,,,99999999.0,-99999999.0
Cell_No_of_maximum_temperature_in_the_rack,1/bit                     ,14,NoUnit,1.0,0,UINT,1,0,,,99999999.0,-99999999.0
Minimum_battery_temperature,"1°C/bit, Offset: -40°C    ",15,°C,1.0,-40,UINT,1,0,,,99999999.0,-99999999.0
Rack_No_of_minimum_temperature_battery_rack,1/bit                     ,16,NoUnit,1.0,0,UINT,1,0,,,99999999.0,-99999999.0
