description;axTypeVariableName;plcVariableName;mbHandler;mqttPayload;mbRegister;mbFunctionCode;mbUnit;mqttLowerLimit;mqttUpperLimit;mbScaling;mbOffset;mbType;mbTypeSize;mqttScaling;mqttName;mqttOffset;mqttUnit;mqttDecimals
Voltage L1-N;G_ULN_0_;G_ULN_0_;1;1;19000;4;varh;-9999999;9999999;1;0;float;32;1;_G_ULN[0];0;varh;3
Voltage L2-N;G_ULN_1_;G_ULN_1_;1;1;19002;4;varh;-9999999;9999999;1;0;float;32;1;_G_ULN[1];0;varh;3
Voltage L3-N;G_ULN_2_;G_ULN_2_;1;1;19004;4;varh;-9999999;9999999;1;0;float;32;1;_G_ULN[2];0;varh;3
Voltage L1-L2;G_ULL_0_;G_ULL_0_;1;1;19006;4;varh;-9999999;9999999;1;0;float;32;1;_G_ULL[0];0;varh;3
Voltage L2-L3;G_ULL_1_;G_ULL_1_;1;1;19008;4;varh;-9999999;9999999;1;0;float;32;1;_G_ULL[1];0;varh;3
Voltage L3-L1;G_ULL_2_;G_ULL_2_;1;1;19010;4;varh;-9999999;9999999;1;0;float;32;1;_G_ULL[2];0;varh;3
Apparent current, L1-N;G_ILN_0_;G_ILN_0_;1;1;19012;4;varh;-9999999;9999999;1;0;float;32;1;_G_ILN[0];0;varh;3
Apparent current, L2-N;G_ILN_1_;G_ILN_1_;1;1;19014;4;varh;-9999999;9999999;1;0;float;32;1;_G_ILN[1];0;varh;3
Apparent current, L3-N;G_ILN_2_;G_ILN_2_;1;1;19016;4;varh;-9999999;9999999;1;0;float;32;1;_G_ILN[2];0;varh;3
"Vector sum; IN=I1+I2+I3";G_I_SUM3;G_I_SUM3;1;1;19018;4;varh;-9999999;9999999;1;0;float;32;1;_G_I_SUM3;0;varh;3
Real power L1-N;G_PLN_0_;G_PLN_0_;1;1;19020;4;varh;-9999999;9999999;1;0;float;32;1;_G_PLN[0];0;varh;3
Real power L2-N;G_PLN_1_;G_PLN_1_;1;1;19022;4;%;-9999999;9999999;1;0;float;32;1;_G_PLN[1];0;%;3
Real power L3-N;G_PLN_2_;G_PLN_2_;1;1;19024;4;%;-9999999;9999999;1;0;float;32;1;_G_PLN[2];0;%;3
Psum3=P1+P2+P3;G_P_SUM3;G_P_SUM3;1;1;19026;4;%;-9999999;9999999;1;0;float;32;1;_G_P_SUM3;0;%;3
Apparent power L1-N;G_SLN_0_;G_SLN_0_;1;1;19028;4;%;-9999999;9999999;1;0;float;32;1;_G_SLN[0];0;%;3
Apparent power L2-N;G_SLN_1_;G_SLN_1_;1;1;19030;4;%;-9999999;9999999;1;0;float;32;1;_G_SLN[1];0;%;3
Apparent power L3-N;G_SLN_2_;G_SLN_2_;1;1;19032;4;%;-9999999;9999999;1;0;float;32;1;_G_SLN[2];0;%;3
"Sum; Ssum3=S1+S2+S3";G_S_SUM3;G_S_SUM3;1;1;19034;4;V;-9999999;9999999;1;0;float;32;1;_G_S_SUM3;0;V;3
Reactive power L1 (fundamental comp.);G_QLN_0_;G_QLN_0_;1;1;19036;4;V;-9999999;9999999;1;0;float;32;1;_G_QLN[0];0;V;3
Reactive power L2 (fundamental comp.);G_QLN_1_;G_QLN_1_;1;1;19038;4;A;-9999999;9999999;1;0;float;32;1;_G_QLN[1];0;A;3
Reactive power L3 (fundamental comp.);G_QLN_2_;G_QLN_2_;1;1;19040;4;-;-9999999;9999999;1;0;float;32;1;_G_QLN[2];0;-;3
