Topic,Description,Register Address,Unit,Scaling,Offset,type,Multiplier,AddressOffset,AXSOL Name,AXSOL Unit & Resolution,upperLimit,lowerLimit
DcMs_Vol,DC voltage DC plus to DC minus                                                                         ,0,V,,,,1,0,AX_InverterAPU1...NDCVoltage,,99999999.0,-99999999.0
DcMs_Amp_Stk1,DC current inverter bridge 1                                                                           ,2,A,,,,1,0,AX_InverterAPU1...NGridCurrentL1,,99999999.0,-99999999.0
DcMs_Amp_Stk2,DC current inverter bridge 2                                                                           ,4,A,,,,1,0,AX_InverterAPU1...NGridCurrentL2,,99999999.0,-99999999.0
DcMs_Amp_Stk3,DC current inverter bridge 3                                                                           ,6,A,,,,1,0,AX_InverterAPU1...NGridCurrentL3,,99999999.0,-99999999.0
DcMs_TotAmp,"DC current, total                                                                                      ",8,A,,,,1,0,AX_InverterAPU1...NDCCurrent,,99999999.0,-99999999.0
DcMs_TotWatt,"DC power, total                                                                                        ",10,kW,,,,1,0,AX_InverterDCPower,,99999999.0,-99999999.0
InvMs_DcVol_Stk1,DC voltage inverter bridge 1                                                                           ,12,V,,,,1,0,AX_InverterAPU1…NGridVoltageL1,,99999999.0,-99999999.0
InvMs_DcVol_Stk2,DC voltage inverter bridge 2                                                                           ,14,V,,,,1,0,AX_InverterAPU1...NGridVoltageL2,,99999999.0,-99999999.0
InvMs_DcVol_Stk3,DC voltage inverter bridge 3                                                                           ,16,V,,,,1,0,AX_InverterAPU1...NGridVoltageL3,,99999999.0,-99999999.0
InvMs_TotAAmp,"AC current L1, total                                                                                   ",18,A,,,,1,0,,,99999999.0,-99999999.0
InvMs_TotBAmp,"AC current L2, total                                                                                   ",20,A,,,,1,0,,,99999999.0,-99999999.0
InvMs_TotCAmp,"AC current L3, total                                                                                   ",22,A,,,,1,0,,,99999999.0,-99999999.0
InvMs_PF,Power factor cos (phi)                                                                                 ,24,-,,,,1,0,,,99999999.0,-99999999.0
InvMs_TotVA,"Apparent power, total                                                                                  ",26,kVA,,,,1,0,,,99999999.0,-99999999.0
InvMs_TotW,"Active power, total                                                                                    ",28,kW,,,,1,0,AX_InverterActivePowerTotal,,99999999.0,-99999999.0
InvMs_TotVAr,"Reactive power, total                                                                                  ",30,kVAr,,,,1,0,AX_InverterReactivePowerTotal,,99999999.0,-99999999.0
GrIMs_V_PhsAB,"Line-to-line voltage L1-L2, grid                                                                       ",32,V,,,,1,0,AX_InverterAPU1...NGridVoltageL12,,99999999.0,-99999999.0
GrIMs_V_PhsBC,"Line-to-line voltage L2-L3, grid                                                                       ",34,V,,,,1,0,AX_InverterAPU1...NGridVoltageL23,,99999999.0,-99999999.0
GrIMs_V_PhsCA,"Line-to-line voltage L3-L1, grid                                                                       ",36,V,,,,1,0,AX_InverterAPU1...NGridVoltageL31,,99999999.0,-99999999.0
GrIMs_Hz,Grid frequency                                                                                         ,38,Hz,,,,1,0,AX_InverterAPU1...NGridFrequency,,99999999.0,-99999999.0
TmpCab_Acc,Temperature in AC area                                                                                 ,40,°C,,,,1,0,,,99999999.0,-99999999.0
TmpCab_Dcc,Temperature in DC area                                                                                 ,42,°C,,,,1,0,,,99999999.0,-99999999.0
TmpCab_Rio,Temperature in electronics area                                                                        ,44,°C,,,,1,0,AX_InverterAPU1…NPCBTemperature,,99999999.0,-99999999.0
TmpCab_Max,"Temperature in interior, maximum value                                                                 ",46,°C,,,,1,0,AX_InverterAmbientTemperature,,99999999.0,-99999999.0
TmpStk_IgbtMax,"Temperature of inverter bridge (switch), maximum value                                                 ",48,°C,,,,1,0,,,99999999.0,-99999999.0
