Topic,Description,Register Address,Unit,Scaling,Offset,type,Multiplier,AddressOffset,AXSOL Name,AXSOL Unit & Resolution,upperLimit,lowerLimit
APS_Active_Power_Set_Point,,24576,kW,,,INT16,1,0,SP_P,W,99999999.0,-99999999.0
APS_Reactive_Power_Set_Point,,24580,kvar,,,INT16,1,0,SP_Q,Var,99999999.0,-99999999.0
APS_Island_Voltage_Set_Point,,24584,0.1V,,,UINT16,1,0,SP_V_Island,V,99999999.0,-99999999.0
APS_Island_Frequency_Set_Point,,24585,0.001Hz,,,UINT16,1,0,SP_F_Island,Hz,99999999.0,-99999999.0
APS_Operating_Mode,,24586,,,,UINT16,1,0,ST_Mode,,99999999.0,-99999999.0
APS_Error_Reset,,24587,,,,UINT16,1,0,,,99999999.0,-99999999.0
APS_Activate_Modbus_TCP_Interface,,24588,,,,UINT16,1,0,,,99999999.0,-99999999.0
APS_Heartbeat,,24589,,,,UINT16,1,0,ERR_Code,,99999999.0,-99999999.0
APS_QU_Offset,,24590,0.001%,,,INT16,1,0,,%,99999999.0,-99999999.0
APS_Q_Mode,,24591,,,,UINT16,1,0,,,99999999.0,-99999999.0
#_U_Active_Power_Set_Point,,24596,0.1kW,,,INT16,4,30,,,99999999.0,-99999999.0
#_U_Reactive_Power_Set_Point,,24600,0.1kvar,,,INT16,4,30,,,99999999.0,-99999999.0
#_U_DC_Voltage_Maximum,,24604,0.1V,,,UINT16,4,30,,,99999999.0,-99999999.0
#_U_DC_Voltage_Minimum,,24605,0.1V,,,UINT16,4,30,,,99999999.0,-99999999.0
#_U_Positive_DC_Current_Limit,,24606,0.1A,,,INT16,4,30,,,99999999.0,-99999999.0
#_U_Negative_DC_Current_Limit,,24607,0.1A,,,INT16,4,30,,,99999999.0,-99999999.0
#_U_Island_Voltage_Set_Point,,24608,0.1V,,,UINT16,4,30,,,99999999.0,-99999999.0
#_U_Island_Frequency_Set_Point,,24609,0.001Hz,,,UINT16,4,30,,,99999999.0,-99999999.0
#_U_Operating_Mode,,24610,,,,UINT16,4,30,,,99999999.0,-99999999.0
#_U_Error_Reset,,24611,,,,UINT16,4,30,,,99999999.0,-99999999.0
#_U_Heartbeat,,24612,,,,UINT16,4,30,,,99999999.0,-99999999.0
APMC_Software_Version,,8192,,,,UINT16,1,0,,,99999999.0,-99999999.0
APMC_Interface_Version,,8193,,,,UINT16,1,0,,,99999999.0,-99999999.0
APS_Active_Power_Total,,8194,1kW,,,INT16,1,0,ME_P_Tot,W,99999999.0,-99999999.0
APS_Active_Power_L1,,8195,0.1kW,,,INT16,1,0,ME_P_L1,W,99999999.0,-99999999.0
APS_Active_Power_L2,,8196,0.1kW,,,INT16,1,0,ME_P_L2,W,99999999.0,-99999999.0
APS_Active_Power_L3,,8197,0.1kW,,,INT16,1,0,ME_P_L3,W,99999999.0,-99999999.0
APS_Reactive_Power_Total,,8198,1kvar,,,INT16,1,0,ME_Q_Tot,VAr,99999999.0,-99999999.0
APS_Reactive_Power_L1,,8199,0.1kvar,,,INT16,1,0,ME_Q_L1,VAr,99999999.0,-99999999.0
APS_Reactive_Power_L2,,8200,0.1kvar,,,INT16,1,0,ME_Q_L2,VAr,99999999.0,-99999999.0
APS_Reactive_Power_L3,,8201,0.1kvar,,,INT16,1,0,ME_Q_L3,VAr,99999999.0,-99999999.0
APS_DC_Power,,8202,1kW,,,INT16,1,0,ME_P_DC,W,99999999.0,-99999999.0
Ambient_Temperature,,8203,0.1°C,,,INT16,1,0,ME_Temp_Amb,°C,99999999.0,-99999999.0
Solar_Irradiation,,8204,0.1Wm2,,,INT16,1,0,,,99999999.0,-99999999.0
Panel_Temperature,,8205,0.1°C,,,INT16,1,0,ME_Temp_Panel,°C,99999999.0,-99999999.0
APS_Applied_Active_Power_Limit,,8206,1kW,,,INT16,1,0,LIM_P,W,99999999.0,-99999999.0
APS_Applied_Reactive_Power_Limit,,8210,1kvar,,,INT16,1,0,LIM_Q,var,99999999.0,-99999999.0
APS_Energy_Counter_Positive_Total,,8214,0.1kWh,,,UINT32,1,0,CT_E_Pos_Tot,Wh,99999999.0,-99999999.0
APS_Energy_Counter_Positive_L1,,8216,0.1kWh,,,UINT32,1,0,CT_E_Pos_L1,Wh,99999999.0,-99999999.0
APS_Energy_Counter_Positive_L2,,8218,0.1kWh,,,UINT32,1,0,CT_E_Pos_L2,Wh,99999999.0,-99999999.0
APS_Energy_Counter_Positive_L3,,8220,0.1kWh,,,UINT32,1,0,CT_E_Pos_L3,Wh,99999999.0,-99999999.0
APS_Energy_Counter_Negative_Total,,8222,0.1kWh,,,UINT32,1,0,CT_E_Neg_Tot,Wh,99999999.0,-99999999.0
APS_Energy_Counter_Negative_L1,,8224,0.1kWh,,,UINT32,1,0,CT_E_Neg_L1,Wh,99999999.0,-99999999.0
APS_Energy_Counter_Negative_L2,,8226,0.1kWh,,,UINT32,1,0,CT_E_Neg_L2,Wh,99999999.0,-99999999.0
APS_Energy_Counter_Negative_L3,,8228,0.1kWh,,,UINT32,1,0,CT_E_Neg_L3,Wh,99999999.0,-99999999.0
APS_Error_Code_1,,8230,,,,UINT16,1,0,ERR_Code,,99999999.0,-99999999.0
APS_Error_Code_2,,8231,,,,UINT16,1,0,,,99999999.0,-99999999.0
APS_Error_Code_3,,8232,,,,UINT16,1,0,,,99999999.0,-99999999.0
APS_Error_Code_4,,8233,,,,UINT16,1,0,,,99999999.0,-99999999.0
APS_Error_Code_5,,8234,,,,UINT16,1,0,,,99999999.0,-99999999.0
APS_Error_Code_6,,8235,,,,UINT16,1,0,,,99999999.0,-99999999.0
APS_Error_Code_7,,8236,,,,UINT16,1,0,,,99999999.0,-99999999.0
