AXSOL_Name_Short,AXSOL Name,Description,AXSOL Unit & Resolution,Local Data Storage,Cloud,Dashboard,Trader,Network-Operator,Controller,O&M,SK required
SP_P,AX_InverterActivePowerSetpoint,Targetactivepower(%)theinvertershoulddelivertothegridorload.,,x,x,x,x,x,x,x,x
SP_Q,AX_InverterReactivePowerSetpoint,Targetreactivepower(%)forgridsupportorpowerfactorcorrection.,,x,x,x,x,x,x,x,x
SP_Mode,AX_InverterDistributionModeSetpoint,Setpointoperationmode.Doestheoverallsetpointgetdevidedortheunit-setpointsaddeduptotheoverallsetpoint?,,x,x,x,x,x,x,x,
SP_V_Island,AX_InverterIslandVoltageSetpoint,DesiredACvoltagelevelwhenoperatinginisland(off-grid)mode.,,x,x,x,,,,x,x
SP_F_Island,AX_InverterIslandFrequencySetpoint,DesiredACfrequencywhenoperatinginislandmode.,,x,x,x,,,,x,x
ST_Mode,AX_InverterOperatingMode,"Currentoperationalmode(e.g.,grid-tied,islanded,standby).",,x,x,x,x,x,x,x,x
Error_Ack,AX_InverterErrorAckActive,Acknowledgeoferroractive,,,,,,,,,
ME_P_Tot,AX_InverterActivePowerTotal,Totalactivepoweroutputacrossallphases.,,x,x,x,x,x,x,x,x
ME_P_L1,AX_InverterActivePowerL1,ActivepoweroutputforphaseL1.,,x,x,,,,,x,
ME_P_L2,AX_InverterActivePowerL2,ActivepoweroutputforphaseL2.,,x,x,,,,,x,
ME_P_L3,AX_InverterActivePowerL3,ActivepoweroutputforphaseL3.,,x,x,,,,,x,
ME_Q_Tot,AX_InverterReactivePowerTotal,Totalreactivepoweroutputacrossallphases.,,x,x,x,x,x,x,x,x
ME_Q_L1,AX_InverterReactivePowerL1,ReactivepoweroutputforphaseL1.,,x,x,,,,,x,
ME_Q_L2,AX_InverterReactivePowerL2,ReactivepoweroutputforphaseL2.,,x,x,,,,,x,
ME_Q_L3,AX_InverterReactivePowerL3,ReactivepoweroutputforphaseL3.,,x,x,,,,,x,
ME_P_DC,AX_InverterDCPower,PowermeasuredontheDCsideoftheinverter.,,x,x,x,,,,x,x
ME_Temp_Amb,AX_InverterAmbientTemperature,Temperatureofthesurroundingenvironmentneartheinverter.,,x,x,x,,,,x,x
U#_ME_Hum,AX_InverterUnitHumidity,Relativehumidityinsideorneartheinverterenclosure.,,x,x,,x,,,,
ME_Temp_Panel,AX_InverterPanelTemperature,Temperatureoftheinverter’spowerelectronicspanel.,,x,,,,,,x,x
LIM_P,AX_InverterAppliedActivePowerLimit,Maximumallowedactivepowercurrentlyenforced.,,x,x,x,x,x,x,x,
LIM_Q,AX_InverterAppliedReactivePowerLimit,Maximumallowedreactivepowercurrentlyenforced.,,x,x,x,x,x,x,x,
CT_E_Pos_Tot,AX_InverterEnergyCounterPositiveTotal,Totalenergydeliveredtothegrid(kWh).,,x,x,x,x,,x,x,
CT_E_Pos_L1,AX_InverterEnergyCounterPositiveL1,EnergydeliveredonphaseL1.,,x,x,,,,,x,
CT_E_Pos_L2,AX_InverterEnergyCounterPositiveL2,EnergydeliveredonphaseL2.,,x,x,,,,,x,
CT_E_Pos_L3,AX_InverterEnergyCounterPositiveL3,EnergydeliveredonphaseL3.,,x,x,,,,,x,
CT_E_Neg_Tot,AX_InverterEnergyCounterNegativeTotal,Totalenergyimportedfromthegrid(kWh).,,x,x,x,x,,x,x,
CT_E_Neg_L1,AX_InverterEnergyCounterNegativeL1,EnergyimportedonphaseL1.,,x,x,,,,,x,
CT_E_Neg_L2,AX_InverterEnergyCounterNegativeL2,EnergyimportedonphaseL2.,,x,x,,,,,x,
CT_E_Neg_L3,AX_InverterEnergyCounterNegativeL3,EnergyimportedonphaseL3.,,x,x,,,,,x,
ERR_Code,AX_InverterErrorCode,Numericcoderepresentingcurrenterrorcondition.,,x,x,x,,,x,x,x
U#_SP_P,AX_InverterUnitActivePowerSetpoints,Targetactivepower(W)theinverterunitshoulddelivertothegridorload.,,x,x,x,x,x,x,x,
U#_SP_Q,AX_InverterUnitReactivePowerSetpoints,Targetreactivepower(VAR)theinverterunitshoulddelivertothegridorload.,,x,x,x,x,x,x,x,
U#_ST_Mode,AX_InverterUnitOperatingMode,"Currentunitoperationalmode(e.g.,grid-tied,islanded,standby).",,x,x,x,x,x,x,x,x
U#_ST_State,AX_InverterUnitOperatingState,"Currentstate(e.g.,running,standby,fault).",,x,x,x,x,,x,x,x
U#_ME_V_L1N,AX_InverterUnitGridVoltageL1N,Line-to-neutralvoltageforphaseL1.,,x,x,x,,,,x,later
U#_ME_V_L2N,AX_InverterUnitGridVoltageL2N,Line-to-neutralvoltageforphaseL2.,,x,x,x,,,,x,later
U#_ME_V_L3N,AX_InverterUnitGridVoltageL3N,Line-to-neutralvoltageforphaseL3.,,x,x,x,,,,x,later
U#_ME_V_L12,AX_InverterUnitGridVoltageL12,Line-to-linevoltagebetweenL1andL2.,,x,x,,,,,x,later
U#_ME_V_L23,AX_InverterUnitGridVoltageL23,Line-to-linevoltagebetweenL2andL3.,,x,x,,,,,x,later
U#_ME_V_L31,AX_InverterUnitGridVoltageL31,Line-to-linevoltagebetweenL3andL1.,,x,x,,,,,x,later
U#_ME_F,AX_InverterUnitGridFrequency,Measuredgridfrequency(Hz).,,x,x,,x,x,x,x,later
U#_ME_I_L1,AX_InverterUnitGridCurrentL1,CurrentdrawnorsuppliedonphaseL1.,,x,x,,,,,x,later
U#_ME_I_L2,AX_InverterUnitGridCurrentL2,CurrentdrawnorsuppliedonphaseL2.,,x,x,,,,,x,later
U#_ME_I_L3,AX_InverterUnitGridCurrentL3,CurrentdrawnorsuppliedonphaseL3.,,x,x,,,,,x,later
U#_ME_P_Tot,AX_InverterUnitActivePowerTotal,Totalactivepoweroutputacrossallphases.,,x,x,,,,,x,later
U#_ME_P_L1,AX_InverterUnitActivePowerL1,ActivepoweroutputforphaseL1.,,x,x,,,,,x,later
U#_ME_P_L2,AX_InverterUnitActivePowerL2,ActivepoweroutputforphaseL2.,,x,x,,,,,x,later
U#_ME_P_L3,AX_InverterUnitActivePowerL3,ActivepoweroutputforphaseL3.,,x,x,,,,,x,later
U#_ME_Q_Tot,AX_InverterUnitReactivePowerTotal,Totalreactivepoweroutputacrossallphases.,,x,x,,,,,x,later
U#_ME_Q_L1,AX_InverterUnitReactivePowerL1,ReactivepoweroutputforphaseL1.,,x,x,,,,,x,later
U#_ME_Q_L2,AX_InverterUnitReactivePowerL2,ReactivepoweroutputforphaseL2.,,x,x,,,,,x,later
U#_ME_Q_L3,AX_InverterUnitReactivePowerL3,ReactivepoweroutputforphaseL3.,,x,x,,,,,x,later
U#_ME_V_DC,AX_InverterUnitDCVoltage,MeasuredDCvoltageatinverterinput.,,x,x,,x,,,x,later
U#_ME_I_DC,AX_InverterUnitDCCurrent,MeasuredDCcurrentatinverterinput.,,x,x,,x,,,x,later
U#_ME_P_DC,AX_InverterUnitDCPower,CalculatedDCpowerbasedonvoltageandcurrent.,,x,x,,x,,,x,later
U#_LIM_P,AX_InverterUnitAppliedActivePowerLimit,Maximumallowedactivepowercurrentlyenforced.,,x,x,,,,,x,later
U#_LIM_Q,AX_InverterUnitAppliedReactivePowerLimit,Maximumallowedreactivepowercurrentlyenforced.,,x,x,,,,,x,later
U#_LIM_I_DC_Pos,AX_InverterUnitAppliedPositiveDCCurrentLimit,MaximumpositiveDCcurrentallowed.,,x,x,,,,,x,later
U#_LIM_I_DC_Neg,AX_InverterUnitAppliedNegativeDCCurrentLimit,MaximumnegativeDCcurrentallowed.,,x,x,,,,,x,later
U#_CT_E_Pos_Tot,AX_InverterUnitEnergyCounterPositiveTotal,PositiverEnergyCounterperUnit,,x,x,,,,,x,
U#_CT_E_Neg_Tot,AX_InverterUnitEnergyCounterNegativeTotal,NegativeEnergyCounterperUnit,,x,x,,,,,x,
U#_SP_V_Islland,AX_InverterUnitIslandVoltageSetpoint,IslandVoltageSetpointperUnit,,x,x,,,,,x,
U#_SP_F_Island,AX_InverterUnitIslandFrequencySetpoint,IslandFrequencySetpointperUnit,,x,x,,,,,x,
