description;plcVariableName;mbUsed;multiplier;addressOffset;mbRegister;mbFunctionCode;mbUnit;mqttLowerLimit;mqttUpperLimit;mbScaling;mbOffset;mbType;mqttScaling;mqttName;mqttOffset;mqttUnit;mqttDecimals;mbHandler;mbHandlerOffset;mbIdx;mbTypeSize
Rack CBMU lost communication;rack_cbmu_lost_communication;True;5;100;200;2;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;1;2;1;16
Rack total voltage undervoltage slight alarm;rack_total_voltage_undervoltage_slight_alarm;True;5;100;201;2;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;1;2;2;16
Rack total voltage undervoltage medium alarm;rack_total_voltage_undervoltage_medium_alarm;True;5;100;202;2;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;1;2;3;16
Rack total voltage undervoltage serious alarm;rack_total_voltage_undervoltage_serious_alarm;True;5;100;203;2;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;1;2;4;16
Rack total voltage overvoltage slight alarm;rack_total_voltage_overvoltage_slight_alarm;True;5;100;204;2;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;1;2;5;16
Rack total voltage overvoltage medium alarm;rack_total_voltage_overvoltage_medium_alarm;True;5;100;205;2;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;1;2;6;16
Rack total voltage overvoltage serious alarm;rack_total_voltage_overvoltage_serious_alarm;True;5;100;206;2;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;1;2;7;16
Rack overcurrent slight alarm;rack_overcurrent_slight_alarm;True;5;100;207;2;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;1;2;8;16
Rack overcurrent medium alarm;rack_overcurrent_medium_alarm;True;5;100;208;2;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;1;2;9;16
Rack overcurrent serious alarm;rack_overcurrent_serious_alarm;True;5;100;209;2;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;1;2;10;16
Rack cell voltage undervoltage slight alarm;rack_cell_voltage_undervoltage_slight_alarm;True;5;100;210;2;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;1;2;11;16
Rack cell voltage undervoltage medium alarm;rack_cell_voltage_undervoltage_medium_alarm;True;5;100;211;2;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;1;2;12;16
Rack cell voltage undervoltage serious alarm;rack_cell_voltage_undervoltage_serious_alarm;True;5;100;212;2;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;1;2;13;16
Rack cell voltage overvoltage slight alarm;rack_cell_voltage_overvoltage_slight_alarm;True;5;100;213;2;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;1;2;14;16
Rack cell voltage overvoltage medium alarm;rack_cell_voltage_overvoltage_medium_alarm;True;5;100;214;2;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;1;2;15;16
Rack cell voltage overvoltage serious alarm;rack_cell_voltage_overvoltage_serious_alarm;True;5;100;215;2;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;1;2;16;16
Rack cell low temperature slight alarm;rack_cell_low_temperature_slight_alarm;True;5;100;216;2;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;1;2;17;16
Rack cell low temperature medium alarm;rack_cell_low_temperature_medium_alarm;True;5;100;217;2;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;1;2;18;16
Rack cell low temperature serious alarm;rack_cell_low_temperature_serious_alarm;True;5;100;218;2;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;1;2;19;16
Rack cell over temperature slight alarm;rack_cell_over_temperature_slight_alarm;True;5;100;219;2;NoUnit;-9999999;9999999;1.0;0;UINT;1;;0;NoUnit;3;1;2;20;16
